date,product_id,product_name,category,quantity,price,region,customer_id
2024-10-01,P001,Widget Pro,Electronics,2,49.99,West,C1001
2024-10-01,P002,Gadget Plus,Electronics,1,79.99,East,C1002
2024-10-02,P003,Tool Basic,Tools,3,29.99,Central,C1003
2024-10-02,P001,Widget Pro,Electronics,1,49.99,West,C1004
2024-10-03,P004,Device Max,Electronics,1,129.99,South,C1005
2024-10-03,P002,Gadget Plus,Electronics,2,79.99,East,C1006
2024-10-04,P005,Kit Standard,Tools,1,39.99,West,C1007
2024-10-05,P001,Widget Pro,Electronics,3,49.99,East,C1008
2024-10-06,P003,Tool Basic,Tools,2,29.99,Central,C1009
2024-10-07,P004,Device Max,Electronics,1,129.99,West,C1010
2024-10-08,P002,Gadget Plus,Electronics,1,79.99,South,C1011
2024-10-09,P001,Widget Pro,Electronics,2,49.99,West,C1012
2024-10-10,P006,Premium Suite,Electronics,1,199.99,East,C1013
2024-10-11,P003,Tool Basic,Tools,4,29.99,Central,C1014
2024-10-12,P004,Device Max,Electronics,2,129.99,West,C1015
2024-10-13,P001,Widget Pro,Electronics,1,49.99,East,C1016
2024-10-14,P005,Kit Standard,Tools,2,39.99,South,C1017
2024-10-15,P002,Gadget Plus,Electronics,3,79.99,West,C1018
2024-10-16,P006,Premium Suite,Electronics,1,199.99,East,C1019
2024-10-17,P001,Widget Pro,Electronics,2,49.99,Central,C1020
2024-10-18,P003,Tool Basic,Tools,1,29.99,West,C1021
2024-10-19,P004,Device Max,Electronics,1,129.99,East,C1022
2024-10-20,P002,Gadget Plus,Electronics,2,79.99,South,C1023
2024-10-21,P001,Widget Pro,Electronics,3,49.99,West,C1024
2024-10-22,P006,Premium Suite,Electronics,2,199.99,East,C1025
2024-10-23,P005,Kit Standard,Tools,1,39.99,Central,C1026
2024-10-24,P003,Tool Basic,Tools,3,29.99,West,C1027
2024-10-25,P004,Device Max,Electronics,1,129.99,East,C1028
2024-10-26,P001,Widget Pro,Electronics,2,49.99,South,C1029
2024-10-27,P002,Gadget Plus,Electronics,1,79.99,West,C1030
2024-10-28,P006,Premium Suite,Electronics,1,199.99,East,C1031
2024-10-29,P001,Widget Pro,Electronics,3,49.99,Central,C1032
2024-10-30,P003,Tool Basic,Tools,2,29.99,West,C1033
2024-10-31,P004,Device Max,Electronics,1,129.99,East,C1034
2024-11-01,P002,Gadget Plus,Electronics,2,79.99,South,C1035
2024-11-02,P001,Widget Pro,Electronics,1,49.99,West,C1036
2024-11-03,P006,Premium Suite,Electronics,2,199.99,East,C1037
2024-11-04,P005,Kit Standard,Tools,1,39.99,Central,C1038
2024-11-05,P003,Tool Basic,Tools,3,29.99,West,C1039
2024-11-06,P004,Device Max,Electronics,2,129.99,East,C1040
2024-11-07,P001,Widget Pro,Electronics,1,49.99,South,C1041
2024-11-08,P002,Gadget Plus,Electronics,3,79.99,West,C1042
2024-11-09,P006,Premium Suite,Electronics,1,199.99,East,C1043
2024-11-10,P001,Widget Pro,Electronics,2,49.99,Central,C1044
2024-11-11,P003,Tool Basic,Tools,4,29.99,West,C1045
2024-11-12,P004,Device Max,Electronics,1,129.99,East,C1046
2024-11-13,P002,Gadget Plus,Electronics,2,79.99,South,C1047
2024-11-14,P001,Widget Pro,Electronics,3,49.99,West,C1048
2024-11-15,P006,Premium Suite,Electronics,2,199.99,East,C1049
2024-11-16,P005,Kit Standard,Tools,1,39.99,Central,C1050
2024-11-17,P003,Tool Basic,Tools,2,29.99,West,C1051
2024-11-18,P004,Device Max,Electronics,1,129.99,East,C1052
2024-11-19,P001,Widget Pro,Electronics,2,49.99,South,C1053
2024-11-20,P002,Gadget Plus,Electronics,1,79.99,West,C1054
2024-11-21,P006,Premium Suite,Electronics,3,199.99,East,C1055
2024-11-22,P001,Widget Pro,Electronics,1,49.99,Central,C1056
2024-11-23,P003,Tool Basic,Tools,3,29.99,West,C1057
2024-11-24,P004,Device Max,Electronics,2,129.99,East,C1058
2024-11-25,P002,Gadget Plus,Electronics,1,79.99,South,C1059
2024-11-26,P001,Widget Pro,Electronics,4,49.99,West,C1060
2024-11-27,P006,Premium Suite,Electronics,2,199.99,East,C1061
2024-11-28,P005,Kit Standard,Tools,1,39.99,Central,C1062
2024-11-29,P003,Tool Basic,Tools,2,29.99,West,C1063
2024-11-30,P004,Device Max,Electronics,1,129.99,East,C1064
2024-12-01,P002,Gadget Plus,Electronics,3,79.99,South,C1065
2024-12-02,P001,Widget Pro,Electronics,2,49.99,West,C1066
2024-12-03,P006,Premium Suite,Electronics,1,199.99,East,C1067
2024-12-04,P003,Tool Basic,Tools,3,29.99,Central,C1068
2024-12-05,P004,Device Max,Electronics,1,129.99,West,C1069
2024-12-06,P001,Widget Pro,Electronics,2,49.99,East,C1070
2024-12-07,P002,Gadget Plus,Electronics,1,79.99,South,C1071
2024-12-08,P006,Premium Suite,Electronics,2,199.99,West,C1072
2024-12-09,P005,Kit Standard,Tools,1,39.99,Central,C1073
2024-12-10,P003,Tool Basic,Tools,4,29.99,East,C1074
2024-12-11,P004,Device Max,Electronics,1,129.99,West,C1075
2024-12-12,P001,Widget Pro,Electronics,3,49.99,South,C1076
2024-12-13,P002,Gadget Plus,Electronics,2,79.99,East,C1077
2024-12-14,P006,Premium Suite,Electronics,1,199.99,West,C1078
2024-12-15,P001,Widget Pro,Electronics,2,49.99,Central,C1079
2024-12-16,P003,Tool Basic,Tools,3,29.99,East,C1080
2024-12-17,P004,Device Max,Electronics,1,129.99,West,C1081
2024-12-18,P002,Gadget Plus,Electronics,2,79.99,South,C1082
2024-12-19,P001,Widget Pro,Electronics,1,49.99,East,C1083
2024-12-20,P006,Premium Suite,Electronics,3,199.99,West,C1084
2024-12-21,P005,Kit Standard,Tools,1,39.99,Central,C1085
2024-12-22,P003,Tool Basic,Tools,2,29.99,East,C1086
2024-12-23,P004,Device Max,Electronics,2,129.99,West,C1087
2024-12-24,P001,Widget Pro,Electronics,1,49.99,South,C1088
2024-12-25,P002,Gadget Plus,Electronics,1,79.99,East,C1089
2024-12-26,P006,Premium Suite,Electronics,2,199.99,West,C1090
2024-12-27,P001,Widget Pro,Electronics,3,49.99,Central,C1091
2024-12-28,P003,Tool Basic,Tools,1,29.99,East,C1092
2024-12-29,P004,Device Max,Electronics,1,129.99,West,C1093
2024-12-30,P002,Gadget Plus,Electronics,2,79.99,South,C1094
2024-12-31,P006,Premium Suite,Electronics,1,199.99,East,C1095

